account_id,district_name,open_date,statement_frequency,num_customers,credit_cards,loan,loan_amount,loan_payments,loan_terms,loan_status,loan_default,max_withdrawal,min_withdrawal_x,min_withdrawal_y,cc_payment,cc_payment
1,Pisek,1995-03-24,monthly,1,0,,,,,,,7500,15,15,689.0,5.0
2,Hl.m. Praha,1993-02-26,monthly,2,0,4959.0,80952.0,3373.0,24.0,"('expired',)","('F',)",42000,15,15,7819.0,5.0
3,Kolin,1997-07-07,monthly,2,0,,,,,,,7400,15,15,7861.0,5.0
4,Pribram,1996-02-21,monthly,1,0,,,,,,,5250,15,15,2487.0,5.0
5,Cesky Krumlov,1997-05-30,monthly,1,0,,,,,,,5100,15,15,2482.0,5.0
6,Trutnov,1994-09-27,monthly,1,0,,,,,,,11600,15,15,8261.0,5.0
7,Prostejov,1996-11-24,monthly,1,1,,,,,,,25800,15,15,8926.0,5.0
8,Hodonin,1995-09-21,monthly,2,0,,,,,,,40800,15,15,9159.0,5.0
9,Karvina,1993-01-27,monthly,1,0,,,,,,,38100,15,15,10063.0,5.0
10,Brno - mesto,1996-08-28,monthly,1,0,,,,,,,23840,15,15,10233.0,5.0
11,Sumperk,1995-10-10,monthly,1,0,,,,,,,6700,15,15,10365.0,5.0
12,Tabor,1997-04-15,monthly,2,0,,,,,,,11000,15,15,10404.0,5.0
13,Sumperk,1997-08-17,monthly,2,0,,,,,,,7500,15,15,10411.0,5.0
14,Pardubice,1996-11-27,monthly,1,1,,,,,,,17200,15,15,10711.0,5.0
15,Karvina,1993-10-02,monthly,1,0,,,,,,,46720,15,15,10915.0,5.0
16,Pribram,1997-09-23,monthly,1,0,,,,,,,26300,15,15,11362.0,5.0
17,Hl.m. Praha,1997-01-08,monthly,2,0,,,,,,,25500,15,15,1832.0,5.0
19,Tabor,1995-04-07,monthly,1,0,4961.0,30276.0,2523.0,12.0,"('expired',)",T,18500,1,1,2371.0,5.0
20,Ostrava - mesto,1996-08-24,monthly,1,0,,,,,,,4950,15,15,2335.0,5.0
21,Brno - mesto,1997-12-06,monthly,1,0,,,,,,,28000,15,15,2322.0,5.0
22,Hl.m. Praha,1994-03-23,monthly,1,0,,,,,,,27600,15,15,2247.0,5.0
23,Sokolov,1993-05-22,monthly,1,0,,,,,,,40480,15,15,1404.0,5.0
24,Ostrava - mesto,1996-12-05,monthly,1,0,,,,,,,26800,15,15,1139.0,5.0
25,Frydek - Mistek,1996-07-28,monthly,1,0,4962.0,30276.0,2523.0,12.0,"('expired',)","('F',)",63300,15,15,1242.0,5.0
26,Usti nad Orlici,1993-08-08,monthly,1,0,,,,,,,29100,15,15,1244.0,5.0
27,Opava,1993-09-26,monthly,1,0,,,,,,,9500,15,15,7594.0,5.0
29,Melnik,1994-11-24,monthly,2,0,,,,,,,18000,8,8,7181.0,5.0
30,Liberec,1995-03-04,monthly,1,0,,,,,,,75600,15,15,3872.0,5.0
31,Frydek - Mistek,1994-04-27,monthly,1,0,,,,,,,61700,15,15,173.0,5.0
32,Kolin,1995-08-28,monthly,1,0,,,,,,,21500,15,15,2982.0,5.0
33,Domazlice,1993-08-26,monthly,1,1,,,,,,,63100,15,15,7465.0,5.0
35,Prerov,1993-07-07,monthly,1,0,,,,,,,14950,15,15,3293.0,5.0
36,Hl.m. Praha,1993-07-01,monthly,1,0,,,,,,,41120,15,15,4418.0,5.0
37,Strakonice,1997-08-18,monthly,1,0,4967.0,318480.0,5308.0,60.0,current,T,43200,0,0,378.0,5.0
39,Liberec,1993-09-22,monthly,1,0,,,,,,,7300,15,15,3935.0,5.0
40,Zlin,1993-10-25,monthly,1,0,,,,,,,13000,15,15,3754.0,5.0
41,Olomouc,1997-08-02,monthly,1,0,,,,,,,19000,15,15,3834.0,5.0
42,Most,1996-08-16,monthly,1,0,,,,,,,11000,15,15,3467.0,5.0
43,Liberec,1994-06-12,monthly,1,1,,,,,,,38560,15,15,2645.0,5.0
44,Ceska Lipa,1993-05-10,monthly,1,0,,,,,,,11350,15,15,4415.0,5.0
