"account_id","district_name","open_date","statement_frequency","num_customers","credit_cards","loan_amount","loan_payments","loan_term","loan_status","loan_default","loan","max_withdrawal","min_withdrawal","cc_payments","max_balance","min_balance"
1,"Hl.m. Praha","1995-03-24","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,102,174283,-41126
2,"Benesov","1993-02-26","monthly",2,0,80952,3373,24,"expired",FALSE,"T",87400,0,152,174283,-41126
3,"Beroun","1997-07-07","monthly",2,0,NA,NA,NA,NA,NA,"F",87400,0,46,174283,-41126
4,"Kladno","1996-02-21","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,65,174283,-41126
5,"Kolin","1997-05-30","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,35,174283,-41126
6,"Kutna Hora","1994-09-27","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,99,174283,-41126
7,"Melnik","1996-11-24","monthly",1,1,NA,NA,NA,NA,NA,"F",87400,0,51,174283,-41126
8,"Mlada Boleslav","1995-09-21","monthly",2,0,NA,NA,NA,NA,NA,"F",87400,0,84,174283,-41126
9,"Nymburk","1993-01-27","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,183,174283,-41126
10,"Praha - vychod","1996-08-28","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,59,174283,-41126
11,"Praha - zapad","1995-10-10","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,79,174283,-41126
12,"Pribram","1997-04-15","monthly",2,0,NA,NA,NA,NA,NA,"F",87400,0,39,174283,-41126
13,"Rakovnik","1997-08-17","monthly",2,0,NA,NA,NA,NA,NA,"F",87400,0,31,174283,-41126
14,"Ceske Budejovice","1996-11-27","monthly",1,1,NA,NA,NA,NA,NA,"F",87400,0,52,174283,-41126
15,"Cesky Krumlov","1993-10-02","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,129,174283,-41126
16,"Jindrichuv Hradec","1997-09-23","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,32,174283,-41126
17,"Pelhrimov","1997-01-08","monthly",2,0,NA,NA,NA,NA,NA,"F",87400,0,33,174283,-41126
18,"Pisek","1993-05-26","weekly",1,0,NA,NA,NA,NA,NA,"F",87400,0,156,174283,-41126
19,"Prachatice","1995-04-07","monthly",1,0,30276,2523,12,"expired",TRUE,"T",87400,0,152,174283,-41126
20,"Strakonice","1996-08-24","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,53,174283,-41126
21,"Tabor","1997-12-06","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,34,174283,-41126
22,"Domazlice","1994-03-23","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,118,174283,-41126
23,"Cheb","1993-05-22","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,137,174283,-41126
24,"Karlovy Vary","1996-12-05","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,52,174283,-41126
25,"Klatovy","1996-07-28","monthly",1,0,30276,2523,12,"expired",FALSE,"T",87400,0,82,174283,-41126
26,"Plzen - mesto","1993-08-08","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,133,174283,-41126
27,"Plzen - jih","1993-09-26","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,135,174283,-41126
29,"Rokycany","1994-11-24","monthly",2,0,NA,NA,NA,NA,NA,"F",87400,0,100,174283,-41126
30,"Sokolov","1995-03-04","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,130,174283,-41126
31,"Tachov","1994-04-27","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,164,174283,-41126
32,"Ceska Lipa","1995-08-28","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,82,174283,-41126
33,"Decin","1993-08-26","monthly",1,1,NA,NA,NA,NA,NA,"F",87400,0,131,174283,-41126
34,"Chomutov","1993-09-17","weekly",1,1,NA,NA,NA,NA,NA,"F",87400,0,127,174283,-41126
35,"Jablonec n. Nisou","1993-07-07","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,127,174283,-41126
36,"Liberec","1993-07-01","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,134,174283,-41126
37,"Litomerice","1997-08-18","monthly",1,0,318480,5308,60,"current",TRUE,"T",87400,0,36,174283,-41126
38,"Louny","1997-08-08","weekly",1,0,110736,2307,48,"current",FALSE,"T",87400,0,48,174283,-41126
39,"Most","1993-09-22","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,124,174283,-41126
40,"Teplice","1993-10-25","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,133,174283,-41126
41,"Usti nad Labem","1997-08-02","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,36,174283,-41126
42,"Havlickuv Brod","1996-08-16","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,63,174283,-41126
43,"Hradec Kralove","1994-06-12","monthly",1,1,NA,NA,NA,NA,NA,"F",87400,0,112,174283,-41126
44,"Chrudim","1993-05-10","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,131,174283,-41126
45,"Jicin","1997-09-02","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,41,174283,-41126
47,"Pardubice","1993-08-08","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,133,174283,-41126
48,"Rychnov nad Kneznou","1996-11-17","monthly",2,1,NA,NA,NA,NA,NA,"F",87400,0,52,174283,-41126
49,"Semily","1997-04-06","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,43,174283,-41126
50,"Svitavy","1994-05-06","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,117,174283,-41126
51,"Trutnov","1996-05-11","monthly",1,1,NA,NA,NA,NA,NA,"F",87400,0,63,174283,-41126
52,"Usti nad Orlici","1997-01-29","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,48,174283,-41126
53,"Blansko","1995-06-07","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,87,174283,-41126
54,"Brno - mesto","1995-05-02","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,89,174283,-41126
55,"Brno - venkov","1996-02-19","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,65,174283,-41126
56,"Breclav","1994-05-16","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,118,174283,-41126
57,"Hodonin","1995-05-21","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,87,174283,-41126
58,"Jihlava","1996-08-23","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,54,174283,-41126
59,"Kromeriz","1994-03-27","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,123,174283,-41126
61,"Trebic","1993-12-11","monthly",2,0,NA,NA,NA,NA,NA,"F",87400,0,117,174283,-41126
62,"Uherske Hradiste","1993-03-28","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,135,174283,-41126
63,"Vyskov","1996-11-16","monthly",2,0,NA,NA,NA,NA,NA,"F",87400,0,47,174283,-41126
64,"Zlin","1997-03-11","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,30,174283,-41126
65,"Znojmo","1996-10-29","monthly",1,1,NA,NA,NA,NA,NA,"F",87400,0,53,174283,-41126
66,"Zdar nad Sazavou","1993-12-03","after every transaction",1,1,NA,NA,NA,NA,NA,"F",87400,0,123,174283,-41126
67,"Bruntal","1994-10-19","monthly",1,0,165960,6915,24,"expired",FALSE,"T",87400,0,102,174283,-41126
68,"Frydek - Mistek","1994-12-20","after every transaction",1,1,NA,NA,NA,NA,NA,"F",87400,0,98,174283,-41126
69,"Jesenik","1996-01-12","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,123,174283,-41126
70,"Karvina","1995-02-18","monthly",2,0,NA,NA,NA,NA,NA,"F",87400,0,101,174283,-41126
71,"Novy Jicin","1994-03-05","monthly",2,1,NA,NA,NA,NA,NA,"F",87400,0,118,174283,-41126
72,"Olomouc","1996-06-20","weekly",2,0,NA,NA,NA,NA,NA,"F",87400,0,92,174283,-41126
73,"Opava","1993-11-08","monthly",1,1,NA,NA,NA,NA,NA,"F",87400,0,128,174283,-41126
75,"Prerov","1995-08-13","monthly",1,0,NA,NA,NA,NA,NA,"F",87400,0,82,174283,-41126
