,id,name,region,population,num_cities,urban_ratio,avg_salary,entrepreneur_1000,unemployment_rate_95,unemployment_rate_96,Population < 500,Population 500-1999,Population 2000-9999,Population >= 10000,commited_crimes_95,commited_crimes_96
0,1,Hl.m. Praha,Prague,1204953,1,100.0,12541,167,0.2,0.43,0,0,0,1,85677,99107
1,2,Benesov,central Bohemia,88884,5,46.7,8507,132,1.6,1.85,80,26,6,2,2159,2674
2,3,Beroun,central Bohemia,75232,5,41.7,8980,111,1.9,2.21,55,26,4,1,2824,2813
3,4,Kladno,central Bohemia,149893,6,67.4,9753,109,4.6,5.05,63,29,6,2,5244,5892
4,5,Kolin,central Bohemia,95616,6,51.4,9307,118,3.8,4.43,65,30,4,1,2616,3040
5,6,Kutna Hora,central Bohemia,77963,4,51.5,8546,126,2.9,4.02,60,23,4,2,2640,3120
6,7,Melnik,central Bohemia,94725,6,63.4,9920,130,2.2,2.87,38,28,1,3,4289,4846
7,8,Mlada Boleslav,central Bohemia,112065,8,69.4,11277,127,1.2,1.44,95,19,7,1,5179,4987
8,9,Nymburk,central Bohemia,81344,6,55.3,8899,149,3.3,3.97,61,23,4,2,2987,2487
9,10,Praha - vychod,central Bohemia,92084,5,46.7,10124,141,0.5,0.54,55,29,4,3,3810,4316
10,11,Praha - zapad,central Bohemia,75637,7,36.5,9622,154,0.4,0.59,35,36,9,0,3475,3529
11,12,Pribram,central Bohemia,107870,6,58.0,8754,137,3.8,4.31,84,29,6,1,3804,3868
12,13,Rakovnik,central Bohemia,53921,2,41.3,8598,123,2.7,3.26,61,22,1,1,1597,1875
13,14,Ceske Budejovice,south Bohemia,177686,9,74.8,10045,135,1.4,1.71,69,27,10,1,6604,6295
14,15,Cesky Krumlov,south Bohemia,58796,5,51.9,9045,124,3.1,3.6,22,16,7,1,1845,1879
15,16,Jindrichuv Hradec,south Bohemia,93931,8,56.9,8427,107,1.1,1.54,74,21,10,1,1874,1913
16,17,Pelhrimov,south Bohemia,74062,7,61.4,8114,119,2.3,2.62,99,15,4,2,1003,1181
17,18,Pisek,south Bohemia,70699,4,65.3,8968,131,2.8,3.35,60,13,2,1,1740,1910
18,19,Prachatice,south Bohemia,51428,4,52.7,8402,120,3.1,3.98,50,11,3,1,999,1099
19,20,Strakonice,south Bohemia,70646,4,58.4,8547,120,2.6,3.64,94,14,3,1,1563,1542
